,Year,Week,Date,Need States,Factory POS
0,2021,1,2021-01-04,Need State 1,317435.25
1,2021,1,2021-01-04,Need State 2,410931.0
2,2021,1,2021-01-04,Need State 3,355992.75
3,2021,1,2021-01-04,Need State 4,451255.5
4,2021,1,2021-01-04,Need State 5,15795.0
5,2021,1,2021-01-04,Need State 6,457623.75
6,2021,2,2021-01-11,Need State 1,309234.75
7,2021,2,2021-01-11,Need State 2,447469.5
8,2021,2,2021-01-11,Need State 3,432966.0
9,2021,2,2021-01-11,Need State 4,472152.75
10,2021,2,2021-01-11,Need State 5,11154.75
11,2021,2,2021-01-11,Need State 6,452605.5
12,2021,3,2021-01-18,Need State 1,331149.0
13,2021,3,2021-01-18,Need State 2,471435.0
14,2021,3,2021-01-18,Need State 3,325530.0
15,2021,3,2021-01-18,Need State 4,465115.5
16,2021,3,2021-01-18,Need State 5,10549.5
17,2021,3,2021-01-18,Need State 6,519924.75
18,2021,4,2021-01-25,Need State 1,291885.0
19,2021,4,2021-01-25,Need State 2,427167.0
20,2021,4,2021-01-25,Need State 3,409405.5
21,2021,4,2021-01-25,Need State 4,401831.25
22,2021,4,2021-01-25,Need State 5,10443.0
23,2021,4,2021-01-25,Need State 6,452333.25
24,2021,5,2021-02-01,Need State 1,308238.0
25,2021,5,2021-02-01,Need State 2,529465.5
26,2021,5,2021-02-01,Need State 3,313095.75
27,2021,5,2021-02-01,Need State 4,501825.75
28,2021,5,2021-02-01,Need State 5,12430.5
29,2021,5,2021-02-01,Need State 6,498557.25
30,2021,6,2021-02-08,Need State 1,267614.25
31,2021,6,2021-02-08,Need State 2,417973.5
32,2021,6,2021-02-08,Need State 3,402543.75
33,2021,6,2021-02-08,Need State 4,423258.0
34,2021,6,2021-02-08,Need State 5,12349.5
35,2021,6,2021-02-08,Need State 6,419428.5
36,2021,7,2021-02-15,Need State 1,277594.5
37,2021,7,2021-02-15,Need State 2,470085.0
38,2021,7,2021-02-15,Need State 3,288683.25
39,2021,7,2021-02-15,Need State 4,420210.75
40,2021,7,2021-02-15,Need State 5,19611.75
41,2021,7,2021-02-15,Need State 6,453241.5
42,2021,8,2021-02-22,Need State 1,288708.0
43,2021,8,2021-02-22,Need State 2,469544.25
44,2021,8,2021-02-22,Need State 3,522767.25
45,2021,8,2021-02-22,Need State 4,457369.5
46,2021,8,2021-02-22,Need State 5,14553.75
47,2021,8,2021-02-22,Need State 6,442299.75
48,2021,9,2021-03-01,Need State 1,305426.25
49,2021,9,2021-03-01,Need State 2,441350.25
50,2021,9,2021-03-01,Need State 3,327960.0
51,2021,9,2021-03-01,Need State 4,441514.5
52,2021,9,2021-03-01,Need State 5,18550.5
53,2021,9,2021-03-01,Need State 6,481197.75
54,2021,10,2021-03-08,Need State 1,366468.75
55,2021,10,2021-03-08,Need State 2,413960.25
56,2021,10,2021-03-08,Need State 3,429768.0
57,2021,10,2021-03-08,Need State 4,361330.5
58,2021,10,2021-03-08,Need State 5,40655.25
59,2021,10,2021-03-08,Need State 6,433210.5
60,2021,11,2021-03-15,Need State 1,411339.0
61,2021,11,2021-03-15,Need State 2,472459.5
62,2021,11,2021-03-15,Need State 3,333696.0
63,2021,11,2021-03-15,Need State 4,431964.0
64,2021,11,2021-03-15,Need State 5,37981.5
65,2021,11,2021-03-15,Need State 6,437310.0
66,2021,12,2021-03-22,Need State 1,474183.0
67,2021,12,2021-03-22,Need State 2,390435.0
68,2021,12,2021-03-22,Need State 3,425903.25
69,2021,12,2021-03-22,Need State 4,362648.25
70,2021,12,2021-03-22,Need State 5,71428.5
71,2021,12,2021-03-22,Need State 6,451910.25
72,2021,13,2021-03-29,Need State 1,600133.5
73,2021,13,2021-03-29,Need State 2,395699.25
74,2021,13,2021-03-29,Need State 3,313379.25
75,2021,13,2021-03-29,Need State 4,473433.75
76,2021,13,2021-03-29,Need State 5,100258.5
77,2021,13,2021-03-29,Need State 6,513787.5
78,2021,14,2021-04-05,Need State 1,563619.75
79,2021,14,2021-04-05,Need State 2,356919.0
80,2021,14,2021-04-05,Need State 3,467704.5
81,2021,14,2021-04-05,Need State 4,434118.0
82,2021,14,2021-04-05,Need State 5,134664.75
83,2021,14,2021-04-05,Need State 6,452303.25
84,2021,15,2021-04-12,Need State 1,744040.5
85,2021,15,2021-04-12,Need State 2,445212.75
86,2021,15,2021-04-12,Need State 3,350557.5
87,2021,15,2021-04-12,Need State 4,470531.25
88,2021,15,2021-04-12,Need State 5,357144.75
89,2021,15,2021-04-12,Need State 6,575215.5
90,2021,16,2021-04-19,Need State 1,591930.75
91,2021,16,2021-04-19,Need State 2,422745.0
92,2021,16,2021-04-19,Need State 3,410649.0
93,2021,16,2021-04-19,Need State 4,602490.0
94,2021,16,2021-04-19,Need State 5,191838.0
95,2021,16,2021-04-19,Need State 6,502910.25
96,2021,17,2021-04-26,Need State 1,812364.0
97,2021,17,2021-04-26,Need State 2,454966.5
98,2021,17,2021-04-26,Need State 3,338541.0
99,2021,17,2021-04-26,Need State 4,451764.75
100,2021,17,2021-04-26,Need State 5,237999.75
101,2021,17,2021-04-26,Need State 6,578840.25
102,2021,18,2021-05-03,Need State 1,669479.25
103,2021,18,2021-05-03,Need State 2,400087.5
104,2021,18,2021-05-03,Need State 3,502823.25
105,2021,18,2021-05-03,Need State 4,399734.25
106,2021,18,2021-05-03,Need State 5,139817.25
107,2021,18,2021-05-03,Need State 6,543561.75
108,2021,19,2021-05-10,Need State 1,764657.25
109,2021,19,2021-05-10,Need State 2,432171.0
110,2021,19,2021-05-10,Need State 3,314199.0
111,2021,19,2021-05-10,Need State 4,428429.25
