,Year,Week,Date,Need States,Sales
0,2021,1,2021-01-04,Need State 1,132818.25
1,2021,1,2021-01-04,Need State 2,251858.25
2,2021,1,2021-01-04,Need State 3,209473.5
3,2021,1,2021-01-04,Need State 4,373678.5
4,2021,1,2021-01-04,Need State 5,246819.75
5,2021,2,2021-01-11,Need State 1,395708.25
6,2021,2,2021-01-11,Need State 2,510633.75
7,2021,2,2021-01-11,Need State 3,683112.0
8,2021,2,2021-01-11,Need State 4,597628.5
9,2021,2,2021-01-11,Need State 5,465099.75
10,2021,3,2021-01-18,Need State 1,207779.25
11,2021,3,2021-01-18,Need State 2,525278.25
12,2021,3,2021-01-18,Need State 3,627825.75
13,2021,3,2021-01-18,Need State 4,300238.5
14,2021,3,2021-01-18,Need State 5,548790.75
15,2021,4,2021-01-25,Need State 1,323169.75
16,2021,4,2021-01-25,Need State 2,480166.5
17,2021,4,2021-01-25,Need State 3,318566.25
18,2021,4,2021-01-25,Need State 4,319001.25
19,2021,4,2021-01-25,Need State 5,553418.25
20,2021,5,2021-02-01,Need State 1,71536.5
21,2021,5,2021-02-01,Need State 2,304409.25
22,2021,5,2021-02-01,Need State 3,439665.0
23,2021,5,2021-02-01,Need State 4,433508.25
24,2021,5,2021-02-01,Need State 5,323542.5
25,2021,6,2021-02-08,Need State 1,980441.25
26,2021,6,2021-02-08,Need State 2,460572.0
27,2021,6,2021-02-08,Need State 3,445863.75
28,2021,6,2021-02-08,Need State 4,640492.5
29,2021,6,2021-02-08,Need State 5,524925.0
30,2021,7,2021-02-15,Need State 1,316326.0
31,2021,7,2021-02-15,Need State 2,283466.25
32,2021,7,2021-02-15,Need State 3,334146.75
33,2021,7,2021-02-15,Need State 4,448128.0
34,2021,7,2021-02-15,Need State 5,462306.75
35,2021,8,2021-02-22,Need State 1,480405.0
36,2021,8,2021-02-22,Need State 2,419211.0
37,2021,8,2021-02-22,Need State 3,332299.5
38,2021,8,2021-02-22,Need State 4,412890.0
39,2021,8,2021-02-22,Need State 5,509691.75
40,2021,9,2021-03-01,Need State 1,1341342.75
41,2021,9,2021-03-01,Need State 2,321424.5
42,2021,9,2021-03-01,Need State 3,345800.25
43,2021,9,2021-03-01,Need State 4,331031.25
44,2021,9,2021-03-01,Need State 5,224058.75
45,2021,10,2021-03-08,Need State 1,2721590.25
46,2021,10,2021-03-08,Need State 2,285894.0
47,2021,10,2021-03-08,Need State 3,399765.0
48,2021,10,2021-03-08,Need State 4,461514.75
49,2021,10,2021-03-08,Need State 5,420538.5
50,2021,11,2021-03-15,Need State 1,808580.25
51,2021,11,2021-03-15,Need State 2,389976.0
52,2021,11,2021-03-15,Need State 3,251854.5
53,2021,11,2021-03-15,Need State 4,388106.25
54,2021,11,2021-03-15,Need State 5,287581.5
55,2021,12,2021-03-22,Need State 1,462552.0
56,2021,12,2021-03-22,Need State 2,357771.0
57,2021,12,2021-03-22,Need State 3,462864.75
58,2021,12,2021-03-22,Need State 4,476425.5
59,2021,12,2021-03-22,Need State 5,660348.75
60,2021,13,2021-03-29,Need State 1,1345166.25
61,2021,13,2021-03-29,Need State 2,275889.75
62,2021,13,2021-03-29,Need State 3,264009.75
63,2021,13,2021-03-29,Need State 4,488613.75
64,2021,13,2021-03-29,Need State 5,864904.5
65,2021,14,2021-04-05,Need State 1,1344056.25
66,2021,14,2021-04-05,Need State 2,354687.0
67,2021,14,2021-04-05,Need State 3,588178.5
68,2021,14,2021-04-05,Need State 4,475796.25
69,2021,14,2021-04-05,Need State 5,992937.0
70,2021,15,2021-04-12,Need State 1,780374.25
71,2021,15,2021-04-12,Need State 2,328035.75
72,2021,15,2021-04-12,Need State 3,463776.75
73,2021,15,2021-04-12,Need State 4,357441.75
74,2021,15,2021-04-12,Need State 5,555201.75
75,2021,16,2021-04-19,Need State 1,416756.25
76,2021,16,2021-04-19,Need State 2,259767.75
77,2021,16,2021-04-19,Need State 3,327388.5
78,2021,16,2021-04-19,Need State 4,518808.0
79,2021,16,2021-04-19,Need State 5,324018.75
80,2021,17,2021-04-26,Need State 1,783196.5
81,2021,17,2021-04-26,Need State 2,290293.5
82,2021,17,2021-04-26,Need State 3,212003.25
83,2021,17,2021-04-26,Need State 4,343884.0
84,2021,17,2021-04-26,Need State 5,407784.75
85,2021,18,2021-05-03,Need State 1,964353.75
86,2021,18,2021-05-03,Need State 2,319240.5
87,2021,18,2021-05-03,Need State 3,289918.5
88,2021,18,2021-05-03,Need State 4,460024.5
89,2021,18,2021-05-03,Need State 5,588853.5
90,2021,19,2021-05-10,Need State 1,644009.25
91,2021,19,2021-05-10,Need State 2,261920.25
92,2021,19,2021-05-10,Need State 3,229689.0
93,2021,19,2021-05-10,Need State 4,368431.5
94,2021,19,2021-05-10,Need State 5,462042.75
95,2021,20,2021-05-17,Need State 1,210880.5
